id,text,anger,disgust,fear,joy,sadness,surprise
87,"Presto! He's Batman, then magic man",0,0,0,30,0,34
88,"Heavy use of mobile phones can make men infertile, scientists say",0,0,44,0,17,35
89,Russian ship sinks in Pacific,9,0,23,0,66,12
90,China Successfully Launches Two Satellites,0,0,0,91,0,0
91,Prestige has magic touch,0,0,0,31,0,0
92,"Lies, damned lies, and divorce",43,40,10,0,50,0
93,Manning inspires Giants to victory in Dallas,0,0,0,44,0,0
94,Riot warning for France suburbs,46,27,31,0,53,4
95,Full recovery expected for marathon winner,0,0,0,89,0,13
96,Sony apologises for global battery recall,6,0,0,0,29,0
97,Questions on credit card safety,1,0,5,0,5,0
98,Budapest calm after night of violent protests,34,2,18,18,17,0
99,Vegetables May Boost Brain Power in Older Adults,0,0,9,38,0,6
100,Report criticises US press freedoms,25,24,6,21,13,13
101,French suburb riots could resume,6,0,50,0,22,0
102,Photographer kidnapping condemned,47,55,0,21,33,3
103,Photographer kidnapped in Gaza,55,56,40,0,54,24
104,Baseball: Rogers enjoys his muddied streak,0,0,0,67,0,15
105,"Cultural revolutionary, the iPod is five",0,0,0,62,0,16
106,Life on Mars? Maybe We Missed It,0,2,0,11,3,29
107,Three found alive from missing Russian ship -report,0,0,5,75,14,57
108,Moderate drinking reduces men's heart attack risk,0,0,29,38,0,0
109,The sweet tune of an anniversary,0,0,0,86,0,0
110,Inconvenient truths,12,3,5,0,8,3
111,Dating difficult for Harry Potter,4,0,0,0,0,8
112,Students lose their rite of passage,0,0,0,0,25,0
113,Putin vows to tackle illegal immigration,10,7,0,0,10,3
114,Ottawa must redefine 'terror',0,0,66,0,10,0
115,"Britain to Limit Workers from Romania, Bulgaria",5,10,22,0,10,0
116,Top General Optimistic on Iraq,28,30,0,27,44,0
117,Kim Osorio Wins Sexual Harrassment Suit Against The Source,8,8,0,36,3,0
118,Silly and substantial,0,1,0,2,0,0
119,Official laughs for Borat,24,22,0,34,25,0
120,Speaker Hastert testifies before panel probing sex scandal,9,18,0,0,14,0
121,On Educating Sexes Separately,0,0,0,0,0,0
122,Tom Cruise and Katie Holmes set wedding date,0,0,0,56,0,17
123,Martian Life Could Have Evaded Detection by Viking Landers,4,0,2,0,4,24
124,Ukraine gas deal marred by fears,21,20,84,0,25,0
125,Marathon victory comes at heavy cost,5,0,0,38,38,0
126,College tuition continues climbing,54,31,3,0,40,3
127,German paper shows soldiers desecrating skull,43,66,17,0,37,0
128,"War is close, Ethiopia tells Somali rebels",52,33,57,12,40,0
129,Advantage Cardinals with Suppan in Game 4,0,0,0,4,0,0
130,NASA spacecraft to measure Sun,0,0,0,29,0,26
131,"Sony Hates Europeans, Will Prevent The Importing of PS3",34,8,0,0,0,22
132,Flu Vaccine Appears Safe for Young Children,0,0,6,45,0,0
133,Google To Launch Yet Another Search Tool,0,0,0,21,0,6
134,Tropical Storm Paul's Outer Bands Hit Mexico's Baja California,16,0,32,0,57,0
135,Israeli Bomblets Plague Lebanon,54,48,67,0,39,0
136,"New Indonesia Calamity, a Mud Bath, Is Man-Made",54,43,43,0,43,15
137,U.S. Weighs Sanctions Against North Korea,61,32,23,0,44,0
138,"Rice, in Baghdad, Insists That Iraqis Are ",37,33,26,0,33,0
139,Senator Says U.S. Should Rethink Iraq Strategy,0,0,0,30,33,33
140,German Chief Forges Accord on Financing Health Care,0,0,0,33,0,15
141,Turkish Writers Say Efforts to Stifle Speech May Backfire,49,11,45,8,35,0
142,Kurdish Lawmaker Killed in an Attack in Baghdad,52,42,75,0,59,0
143,Anti-U.S. Attack Videos Spread on the Internet,63,45,58,0,54,0
144,"Women Face Greatest Threat of Violence at Home, Study Finds",51,62,57,0,58,17
145,Appeal by Chinese Researcher for Times May Soon Be Heard,0,0,0,8,0,1
146,Brazil Air Force Cites Faults and Confusion in Fatal Crash,15,0,43,0,68,11
147,A Mix of Oil and Environmentalism,29,29,33,0,33,0
148,Immigrants and French Reach Deal in Standoff,18,0,0,50,28,0
149,Genghis Khan Beer? Mongolia Grimaces,20,0,0,15,0,20
150,Dead Bachelors in Remote China Still Find Wives,0,0,0,20,14,27
151,"Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu",0,0,0,0,0,0
153,Paris Journal: Smoking No Longer Tres Chic in France,0,4,0,40,2,21
154,An Old Letter Casts Doubts on Iran's Goal for Uranium,0,0,25,8,0,39
155,U.S. Warns North Koreans About Nuclear Test,23,0,47,0,39,0
156,Global Sludge Ends in Tragedy for Ivory Coast,0,0,11,4,71,0
158,Equipment on Plane in Brazil Collision May Have Been Faulty,49,33,46,0,67,38
159,"New Indonesia Calamity, a Mud Bath, Is Man-Made",59,41,6,0,62,13
160,Iraqi Journalists Add Laws to List of Dangers,7,0,47,0,28,13
161,U.N. Force Is Treading Lightly on Lebanese Soil,0,0,32,24,32,0
162,Cleric Said to Lose Reins Over Part of Iraqi Militia,33,33,33,0,38,9
163,"Citing Spy Agencies' Study, Democrats Seek Iraq Changes",0,0,0,33,0,36
164,Opera Canceled Over a Depiction of Muhammad,3,0,0,0,28,0
165,Military Officials Add to U.S. Criticism of Iraq's Government,25,2,7,30,0,26
166,Teacher in Hiding After Attack on Islam Stirs Threats,13,2,38,0,36,0
167,Combative Bush Releases Parts of Terror Study,34,17,49,0,0,21
168,Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out,39,37,56,0,35,6
169,"Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says",32,33,41,0,31,0
170,"Seduced by Snacks? No, Not You",26,30,0,4,28,0
171,Friends for Life: An Emerging Biology of Emotional Healing,0,0,0,87,0,16
172,"Alzheimer's Drugs Offer No Help, Study Finds",33,0,16,0,91,47
173,"Across Europe, Worries on Islam Spread to Center",10,9,19,0,43,0
174,Cooking Defines Sephardic Jews at Sukkot,0,0,0,49,0,0
175,"Fitness: Bodies in Motion, Clean and Sober",0,0,0,64,0,0
176,In God's Name: Religion-Based Tax Breaks: Housing to Paychecks to Books,0,0,0,10,0,10
177,"Yankee Dies in Plane Crash, Official Says",0,0,9,0,93,0
178,An Elephant Crackup?,11,0,0,14,31,0
179,"With YouTube, Grad Student Hits Jackpot Again",0,0,0,72,0,42
180,Dow flirts with record highs again,0,0,0,67,0,51
181,Tropical Storm Isaac forms in Atlantic,0,0,86,0,10,0
182,New Iraq terror tape calls for abducting foreigners,37,35,95,0,37,0
183,'Deep regret' for ex-HP exec,0,4,0,0,40,6
184,'Opportunity' knocks on geologist's dream crater,0,0,0,13,0,3
185,Squirrel jumps boy in park; rabies suspected,28,4,61,0,28,62
186,Girl left comatose after dental visit dies,39,39,62,12,66,9
187,Porn star candidate campaigns on campus,31,36,0,28,33,20
188,School ends football season after 0-4 start,0,0,0,0,5,5
189,Charlie Sheen to become highest-paid sitcom star,3,3,0,54,0,10
190,Jon Stewart mocks benefits of CNN's I,13,13,0,0,5,21
191,Ashton Kutcher tells secret to Ryan Seacrest,0,0,0,8,0,11
192,Nails-on-chalkboard study earns Ig,4,20,0,3,0,10
193,Gunman 'fine' before shooting,6,6,6,0,22,10
194,Marijuana may stave off Alzheimer's,0,2,0,25,0,47
195,Kentucky seeks alcohol huffing ban,4,4,17,32,0,25
196,Toddler died from tainted spinach,59,26,27,0,89,22
197,Judge dismisses Karr's porn case,6,6,0,3,0,13
198,10 die in 22-hour Kashmir standoff,50,38,62,0,54,0
199,Slain Amish girls laid to rest,22,7,35,0,76,0
200,"5,000 flee plant fire",30,0,85,0,37,0
201,Cher auction fetches double pre-sale estimates,0,0,0,45,0,21
202,Stars scuffle on 'Grey's Anatomy',15,16,0,0,0,0
203,Probe under way in Yankee crash,2,0,14,8,55,0
204,Amish schoolhouse torn down,29,27,37,0,73,2
205,Warner will not run in '08,0,0,0,0,33,3
206,Reid land deal under scrutiny,2,0,0,0,3,5
207,"Flooding washes out road to Valdez, Alaska",0,0,36,0,39,10
208,Briton admits U.S. bomb plot role,23,21,28,0,33,0
209,Commentary: Minutemen have a right to be idiotic,7,0,0,2,0,0
210,Madonna files adoption papers,0,0,0,30,0,16
211,Gunmen kill 9 at Iraqi TV station,28,31,69,0,58,0
212,Hastert sorry for scandal but not quitting,4,7,0,0,27,3
213,Ex-JonBenet suspect: Child porn case dropped ,5,5,0,4,0,0
214,"Waste plant fire forces 5,000 to evacuate ",26,6,30,6,66,0
215,Toddler died from E. coli tainted spinach ,25,26,8,0,83,0
216,Disturbing finds in child sex raids ,50,59,4,0,42,0
217,Magazine lists women who had abortions ,40,27,0,0,33,14
218,"Pot smokers may avoid Alzheimer's, study says ",0,0,4,10,0,66
219,Student starts white men's club on campus ,7,29,13,0,33,19
220,Kentucky wants to ban alcohol inhalers ,0,0,8,5,0,16
221,Peter Pan flies into chapter two ,0,0,0,25,0,26
222,Teen repellent inventor wins infamous prize ,0,20,0,41,0,17
223,"Cher's dress, car, bed have new owners",0,0,0,17,0,2
224,"Dow hits new record, eyes 12,000 ",0,0,0,49,0,0
225,Ex-Virginia gov not running for president ,0,0,0,0,0,2
226,Yankee pitcher's pilot log found ,0,0,0,0,0,9
228,Dem leader's $1 million land deal under scrutiny ,15,10,0,6,13,11
229,"Dad locked up son, watched on TV, police say ",4,23,0,0,28,0
230,Navarrette: Minutemen have a right to be idiotic ,3,0,0,6,13,5
231,"Pit bulls jump miniature pony, leave her bloody ",4,33,26,0,37,0
232,Alaska town cut off from rest of state by flood ,3,0,56,0,43,0
233,Trailblazing trio protects City by the Bay ,0,0,0,29,0,6
234,Madonna files adoption papers in Malawi,0,0,0,44,0,17
235,'Dr. McDreamy' choked in 'Grey's' scuffle ,0,0,24,0,49,20
236,"$10,000 poetry prize awarded ",0,0,0,86,0,11
237,Las Vegas honour for tiger pair ,0,0,0,77,0,36
238,UK characters boosting box office ,0,0,0,67,0,39
239,Cher items snapped up at auction ,0,0,0,18,0,2
240,Griffiths scorns Withnail 'play' ,12,35,0,4,3,0
241,Lily Allen wins web music award ,0,0,0,93,0,17
242,Costner appeals in casino wrangle,55,0,0,0,15,3
243,Beyonce copyright claim rejected ,10,0,0,0,0,2
244,Cohn gunman jailed for 36 years ,13,0,10,27,21,0
245,Melua's deep sea gig sets record ,0,0,0,54,0,6
246,Sri Lanka clashes kill 129 troops ,21,0,26,0,75,0
247,Gunmen kill 11 in Iraq TV raid ,50,33,43,0,76,0
248,Italy drops Sicily bridge plans ,0,0,0,0,0,45
249,Amish killings school demolished ,33,33,42,0,44,33
250,Pamuk wins Nobel Literature prize,0,0,0,89,0,10
251,Madonna adoption bid approved ,0,0,0,48,0,29
252,Man admits UK-US terror bomb plot,33,43,61,0,33,0
253,Who are you calling fat?,0,16,0,0,12,0
